0.017568	0.030917
0.018287	0.199875
0.062389	0.567589
0.076274	0.774632
0.083329	0.853025
0.08943		0.840491
0.093065	0.785034
0.122328	0.951109
0.127349	1.039361
0.143794	0.844105
0.150668	0.832433
0.177606	0.893017
0.180485	1.141859
0.19035		0.878049
0.205377	0.7154
0.220722	0.807741
0.243475	0.699252
0.250828	0.657169
0.278817	0.34221
0.306657	-0.109413
0.314532	-0.075762
0.343909	-0.313313
0.345116	-0.319911
0.345419	-0.42976
0.386669	-0.508875
0.410167	-0.773426
0.414291	-0.808822
0.431255	-0.905443
0.444938	-0.969528
0.458826	-1.113178
0.464745	-0.835752
0.470839	-0.951757
0.474273	-1.311226
0.499037	-0.924499
